"numero_ocorrencia","ano","mes","dia","rpm_2024","ueop_2024","cia_pm","pelotao","nome_municipio","nome_bairro","natureza_ocorrencia_descricao_longa","numero_envolvido","envolvimento_descricao","furto","roubo","extorsao","data_fato"
"2024-046644165-001",2024,10,16,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-16"
"2024-046549917-001",2024,10,15,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-15"
"2024-046449269-001",2024,10,15,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,JOAQUIM PEDROSA,EXTORSAO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,0,1,"2024-10-15"
"2024-046440910-001",2024,10,15,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,FREI DIMAS,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-15"
"2024-046397797-001",2024,10,15,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,,FURTO,1.0,SOLICITANTE,1,0,0,"2024-10-15"
"2024-046375167-001",2024,10,13,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,LAURO LOPES,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-13"
"2024-046239821-001",2024,10,9,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,INDAIA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-09"
"2024-046213416-001",2024,10,10,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CIDADE NOVA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-10"
"2024-046210949-001",2024,10,11,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,PALMEIRAS,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-11"
"2024-046205303-001",2024,10,14,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,SAO DIOGO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-14"
